Run:,08/09/12 @ 16:01,"MIAMI UNIVERSITY - OXFORD, OHIO ",Page: 1,,,,,,,,,,,,,,,,,,,
Program: SZRGRDT.SQR,Grade Distribution by Campus and by Department,Sections of 10,,,,,,,,,,,,,,,,,,,,
Office of the Registrar,"First Semester, 2001-02",,,,,,,,,,,,,,,,,,,,,
Oxford Campus,,,,,,,,,,,,,,,,,,,,,,
Miami Plan,Honors,Cross Listing,,,,,,,,,,,,,,,,,,,,
ACC Accountancy,,,,,,,,,,,,,,,,,,,,,,
ACC 221   A  Vorholt Jeffrey J.     Intro To Financial Accounting,N,N,,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,3,1,5,4,7,5,6,2,2,0,1,0,1,0,0,0,0,0,0,0,2.59
%,0,8.1,2.7,13.5,10.8,18.9,13.5,16.2,5.4,5.4,0,2.7,0,2.7,0,0,0,0,0,0,0,
ACC 221   B  Vorholt Jeffrey J.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,6,1,2,12,3,2,7,0,0,3,0,0,0,0,0,0,0,0,0,0,2.78
%,0,16.7,2.8,5.6,33.3,8.3,5.6,19.4,0,0,8.3,0,0,0,0,0,0,0,0,0,0,
ACC 221   C  Dick Charles T.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,1,4,4,4,4,2,3,0,5,1,2,2,1,1,1,0,0,0,0,0,2.25
%,0,2.9,11.4,11.4,11.4,11.4,5.7,8.6,0,14.3,2.9,5.7,5.7,2.9,2.9,2.9,0,0,0,0,0,
ACC 221   D  Dick Charles T.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,1,4,5,4,7,9,4,0,0,1,0,1,0,1,0,0,0,0,0,0,2.66
%,0,2.7,10.8,13.5,10.8,18.9,24.3,10.8,0,0,2.7,0,2.7,0,2.7,0,0,0,0,0,0,
ACC 221   E  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,0,0,4,2,6,7,5,1,1,0,0,0,4,1,1,0,0,0,0,0,2.39
%,0,0,0,12.5,6.3,18.8,21.9,15.6,3.1,3.1,0,0,0,12.5,3.1,3.1,0,0,0,0,0,
ACC 221   F  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,2,1,5,5,4,9,2,2,4,1,0,0,0,3,0,0,0,0,0,0,2.52
%,0,5.3,2.6,13.2,13.2,10.5,23.7,5.3,5.3,10.5,2.6,0,0,0,7.9,0,0,0,0,0,0,
ACC 221   G  Tew Katherine A.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,7,1,0,22,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,2.91
%,0,17.9,2.6,0,56.4,0,0,12.8,0,0,7.7,0,0,0,2.6,0,0,0,0,0,0,
Miami Plan,Honors,Cross Listing,,,,,,,,,,,,,,,,,,,,
ACC 221   H  Dreisbach David W.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,6,0,1,12,0,8,12,0,1,1,0,0,0,0,0,0,0,0,0,0,2.63
%,0,14.6,0,2.4,29.3,0,19.5,29.3,0,2.4,2.4,0,0,0,0,0,0,0,0,0,0,
ACC 221   I  Dreisbach David W.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,6,0,3,21,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96
%,0,15,0,7.5,52.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
