Run:,08/09/12 @ 16:02,"MIAMI UNIVERSITY - OXFORD, OHIO ",Page: 1,,,,,,,,,,,,,,,,,,,
Program: SZRGRDT.SQR,Grade Distribution by Campus and by Department,Sections of 10,,,,,,,,,,,,,,,,,,,,
Office of the Registrar,"Second Semester, 2003-04",,,,,,,,,,,,,,,,,,,,,
Oxford Campus,,,,,,,,,,,,,,,,,,,,,,
Miami Plan,Honors,Cross Listing,,,,,,,,,,,,,,,,,,,,
ACC Accountancy,,,,,,,,,,,,,,,,,,,,,,
ACC 221   A  Short Daniel G.     Intro To Financial Accounting,N,N,,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,9,1,2,6,1,3,5,2,2,2,0,3,1,1,0,0,0,0,0,0,2.55
%,0,23.7,2.6,5.3,15.8,2.6,7.9,13.2,5.3,5.3,5.3,0,7.9,2.6,2.6,0,0,0,0,0,0,
ACC 221   B  Short Daniel G.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,2,7,3,1,4,1,1,8,1,0,6,1,0,1,2,1,0,0,0,0,0,2.55
%,5.1,17.9,7.7,2.6,10.3,2.6,2.6,20.5,2.6,0,15.4,2.6,0,2.6,5.1,2.6,0,0,0,0,0,
ACC 221   C  Short Daniel G.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,6,2,2,13,0,0,9,1,1,3,0,2,0,0,0,0,0,0,0,0,2.59
%,0,15.4,5.1,5.1,33.3,0,0,23.1,2.6,2.6,7.7,0,5.1,0,0,0,0,0,0,0,0,
ACC 221   D  Hock Clayton A.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,3,1,1,20,1,3,17,1,0,6,0,0,2,6,1,0,1,0,0,0,2.41
%,0,4.8,1.6,1.6,31.7,1.6,4.8,27,1.6,0,9.5,0,0,3.2,9.5,1.6,0,1.6,0,0,0,
ACC 221   E  Ames Roger D.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,6,1,0,13,0,0,11,0,0,1,0,1,1,2,0,0,0,0,0,0,2.72
%,0,16.7,2.8,0,36.1,0,0,30.6,0,0,2.8,0,2.8,2.8,5.6,0,0,0,0,0,0,
Course Total ACC 221,,,,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
,2,31,8,6,56,3,7,50,5,3,18,1,6,5,11,2,0,1,0,0,0,2.55
%,0.9,14.4,3.7,2.8,26,1.4,3.3,23.3,2.3,1.4,8.4,0.5,2.8,2.3,5.1,0.9,0,0.5,0,0,0,
ACC 222   A  Dick Charles T.     Intro To Managerial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
