Run:,08/09/12 @ 16:02,"MIAMI UNIVERSITY - OXFORD, OHIO ",Page: 1,,,,,,,,,,,,,,,,,,,
Program: SZRGRDT.SQR,Grade Distribution by Campus and by Department,Sections of 10,,,,,,,,,,,,,,,,,,,,
Office of the Registrar,"First Semester, 2003-04",,,,,,,,,,,,,,,,,,,,,
Oxford Campus,,,,,,,,,,,,,,,,,,,,,,
Miami Plan,Honors,Cross Listing,,,,,,,,,,,,,,,,,,,,
ACC Accountancy,,,,,,,,,,,,,,,,,,,,,,
ACC 221   A  Ames Roger D.     Intro To Financial Accounting,N,N,,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,1,7,0,0,19,0,0,7,0,0,3,0,0,0,1,0,0,0,0,0,0,2.86
%,2.6,18.4,0,0,50,0,0,18.4,0,0,7.9,0,0,0,2.6,0,0,0,0,0,0,
ACC 221   B  Bell Mark C.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,7,0,2,18,4,4,15,2,1,5,0,1,0,8,0,0,0,0,0,0,2.51
%,0,10.4,0,3,26.9,6,6,22.4,3,1.5,7.5,0,1.5,0,11.9,0,0,0,0,0,0,
ACC 221   C  Bell Mark C.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,9,2,2,21,6,5,15,1,0,3,0,0,1,4,0,0,0,0,0,0,2.74
%,0,13,2.9,2.9,30.4,8.7,7.2,21.7,1.4,0,4.3,0,0,1.4,5.8,0,0,0,0,0,0,
ACC 221   D  Wiegand Daniel G.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,1,8,1,7,3,8,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,2.94
%,2.6,21.1,2.6,18.4,7.9,21.1,10.5,7.9,0,2.6,2.6,2.6,0,0,0,0,0,0,0,0,0,
ACC 221   E  Wiegand Daniel G.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,1,11,1,3,4,4,2,2,4,3,1,0,1,0,1,0,0,0,0,0,0,2.83
%,2.6,28.9,2.6,7.9,10.5,10.5,5.3,5.3,10.5,7.9,2.6,0,2.6,0,2.6,0,0,0,0,0,0,
ACC 221   F  Porcano Thomas M.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,2,16,3,3,19,0,2,17,0,0,0,0,0,1,1,0,0,0,0,0,0,3.04
%,3.1,25,4.7,4.7,29.7,0,3.1,26.6,0,0,0,0,0,1.6,1.6,0,0,0,0,0,0,
ACC 221   G  Hartmann Linda S.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,10,3,1,3,2,2,0,7,2,1,3,1,2,1,0,0,0,0,0,0,2.6
