Run:,08/09/12 @ 16:01,"MIAMI UNIVERSITY - OXFORD, OHIO ",Page: 1,,,,,,,,,,,,,,,,,,,
Program: SZRGRDT.SQR,Grade Distribution by Campus and by Department,Sections of 10,,,,,,,,,,,,,,,,,,,,
Office of the Registrar,"Second Semester, 2001-02",,,,,,,,,,,,,,,,,,,,,
Oxford Campus,,,,,,,,,,,,,,,,,,,,,,
Miami Plan,Honors,Cross Listing,,,,,,,,,,,,,,,,,,,,
ACC Accountancy,,,,,,,,,,,,,,,,,,,,,,
ACC 221   A  Hock Clayton A.     Intro To Financial Accounting,N,N,,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,4,0,2,4,1,2,7,2,2,4,1,0,3,2,0,0,0,0,0,0,2.3
%,0,11.8,0,5.9,11.8,2.9,5.9,20.6,5.9,5.9,11.8,2.9,0,8.8,5.9,0,0,0,0,0,0,
ACC 221   B  Hock Clayton A.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,1,0,1,13,0,1,10,0,0,1,2,0,1,3,0,0,0,0,0,0,2.45
%,0,3,0,3,39.4,0,3,30.3,0,0,3,6.1,0,3,9.1,0,0,0,0,0,0,
ACC 221   C  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,1,1,1,1,1,1,1,0,2,0,0,0,4,1,0,0,0,0,0,0,2.62
%,0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0,14.3,0,0,0,28.6,7.1,0,0,0,0,0,0,
ACC 221   D  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,0,3,2,4,2,3,2,1,3,0,1,0,5,1,0,0,1,0,0,0,2.49
%,0,0,10.7,7.1,14.3,7.1,10.7,7.1,3.6,10.7,0,3.6,0,17.9,3.6,0,0,3.6,0,0,0,
ACC 221   E  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,0,2,4,1,3,6,4,2,5,2,0,2,3,1,0,0,1,0,0,0,2.11
%,0,0,5.6,11.1,2.8,8.3,16.7,11.1,5.6,13.9,5.6,0,5.6,8.3,2.8,0,0,2.8,0,0,0,
ACC 221   F  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
